Animal,Class,Scientific Name,Sound / Vocalization,Emotion Label,Context / Trigger
Indian Vulture variant 28,Bird,Gyps indicus,Fleeing chatter,Fear/Escape,
Indian Elephant variant 34,Mammal,Elephas maximus indicus,Loud bawl,Distress/Alarm,
Golden Jackal variant 52,Mammal,Canis aureus,Loud bawl,Distress/Alarm,
Bar-headed Goose variant 20,Bird,Anser indicus,"Alarm call, harsh chips",Alarm/Alert,
Walking Catfish,Fish,Clarias batrachus,Rapid splash,Alarm/Escape,when threatened
Gaur,Mammal,Bos gaurus,"Bark, woof",Alert/Excited,in presence of human
Olive Ridley Turtle,Reptile,Lepidochelys olivacea,Huffing,Defensive,
Domestic Goat variant 56,Mammal,Capra hircus,"Bark, woof (variant)",Alert/Excited,on migration
Wild Boar,Mammal,Sus scrofa cristatus,"Purr, contented vocalization",Contentment/Relaxed,
Saw-scaled Viper variant 72,Reptile,Echis carinatus,Hiss,Threat/Defense,
Koala,Mammal,Phascolarctos cinereus,"Squeak, contact call",Contact/Neutral,
Himalayan Black Bear,Mammal,Ursus thibetanus,"Squeak, contact call",Contact/Neutral,
Ibis,Bird,Threskiornis sp.,Fleeing chatter,Fear/Escape,
Brown Palm Civet variant 67,Mammal,Paradoxurus jerdoni,"Trumpet, rumble",Alarm/Excited,
Rock Pigeon variant 6,Bird,Columba livia,Soft contact calls,Content/Comfort,at dusk
White Rhinoceros,Mammal,Ceratotherium simum,Mating call (vocal),Courtship/Excited,on migration
Mountain Goat,Mammal,Oreamnos americanus,"Trumpet, rumble",Alarm/Excited,
Star Tortoise variant 78,Reptile,Geochelone elegans,Silent (body-language),Neutral/Calm,
Black Drongo variant 12,Bird,Dicrurus macrocercus,Purring or soft chatter,Affiliative/Relaxed,at dawn
White-throated Kingfisher,Bird,Halcyon smyrnensis,Aggressive scolding,Aggression/Defense,during foraging
Pied Bushchat variant 21,Bird,Saxicola caprata,"Chirp, cheep",Contact/Neutral,during mating display
Olive Ridley Turtle,Reptile,Lepidochelys olivacea,Tongue-flick (non-vocal),Exploration,when separated from group
Domestic Cat,Mammal,Felis catus,Chittering,Playful,in presence of human
Indian Monitor Lizard,Reptile,Varanus bengalensis,Low growl-like hiss,Alarm/Alert,
Sloth Bear variant 38,Mammal,Melursus ursinus,Sniffing/grunting,Exploration/Foraging,
Indian Leopard variant 36,Mammal,Panthera pardus fusca,"Growl, snarl",Aggression,when separated from group
Rusty-spotted Cat variant 62,Mammal,Prionailurus rubiginosus,"Trumpet, rumble",Alarm/Excited,at dusk
Brahminy Kite,Bird,Haliastur indus,"Song, melodious trills",Courtship/Excited,
Saltwater Crocodile variant 75,Reptile,Crocodylus porosus,Tongue-flick (non-vocal),Exploration,
Pied Bushchat,Bird,Saxicola caprata,"Alarm call, harsh chips",Alarm/Alert,
Brahminy Kite,Bird,Haliastur indus,Purring or soft chatter,Affiliative/Relaxed,
Jungle Owlet,Bird,Glaucidium radiatum,Distress squeal,Distress/Separation,at dawn
Jungle Owlet,Bird,Glaucidium radiatum,Soft contact calls,Content/Comfort,
Indian Grey Hornbill variant 16,Bird,Ocyceros birostris,Aggressive scolding,Aggression/Defense,
Indian Pangolin,Mammal,Manis crassicaudata,Mating call (vocal),Courtship/Excited,
Golden Jackal,Mammal,Canis aureus,"Purr, contented vocalization",Contentment/Relaxed,when separated from group
Bar-headed Goose variant 20,Bird,Anser indicus,Aggressive scolding,Aggression/Defense,
Himalayan Tahr variant 54,Mammal,Hemitragus jemlahicus,"Bark, woof",Alert/Excited,during foraging
Rusty-spotted Cat variant 62,Mammal,Prionailurus rubiginosus,"Purr, contented vocalization",Contentment/Relaxed,
Fantail,Bird,Rhipidura sp.,Purring or soft chatter,Affiliative/Relaxed,
Himalayan Black Bear,Mammal,Ursus thibetanus,"Whine, whimper",Distress/Anxious,
Striped Hyena variant 66,Mammal,Hyaena hyaena,Sniffing/grunting,Exploration/Foraging,
Sarus Crane variant 19,Bird,Grus antigone,"Song, melodious trills",Courtship/Excited,
Indian Wolf variant 50,Mammal,Canis lupus pallipes,"Trumpet, rumble",Alarm/Excited,
Garden Lizard variant 76,Reptile,Calotes versicolor,Vocal chirp (rare),Contact,during mating display
Asiatic Lion,Mammal,Panthera leo persica,Chittering,Playful,when threatened
Wild Yak,Mammal,Bos grunniens,Hiss,Threat/Avoidance,
Indian Hare variant 49,Mammal,Lepus nigricollis,Loud bawl,Distress/Alarm,during mating display
Indian Monitor Lizard,Reptile,Varanus bengalensis,Splash (aquatic),Startle/Escape,when threatened
Olive Ridley Turtle,Reptile,Lepidochelys olivacea,Huffing,Defensive,
Dhole,Mammal,Cuon alpinus,Sniffing/grunting,Exploration/Foraging,
Russell's Viper variant 71,Reptile,Daboia russelii,Slow low moan,Distress,when separated from group
Green Bee-eater variant 27,Bird,Merops orientalis,Fleeing chatter,Fear/Escape,
Pied Bushchat,Bird,Saxicola caprata,"Mimicry, learned sounds",Curiosity/Exploration,at dusk
Eurasian Eagle-Owl variant 15,Bird,Bubo bubo,"Song, melodious trills",Courtship/Excited,
Brahminy Starling,Bird,Sturnia pagodarum,"Mimicry, learned sounds",Curiosity/Exploration,
Rusty-spotted Cat variant 62,Mammal,Prionailurus rubiginosus,"Whine, whimper",Distress/Anxious,
Rhesus Macaque variant 43,Mammal,Macaca mulatta,"Bark, woof",Alert/Excited,
Black-headed Ibis variant 29,Bird,Threskiornis melanocephalus,"Song, melodious trills",Courtship/Excited,
Wild Boar,Mammal,Sus scrofa cristatus,"Trumpet, rumble",Alarm/Excited,
Common Kingfisher variant 10,Bird,Alcedo atthis,"Alarm call, harsh chips (variant)",Alarm/Alert,
Nilgai variant 42,Mammal,Boselaphus tragocamelus,"Purr, contented vocalization",Contentment/Relaxed,near nesting site
Sambar Deer,Mammal,Rusa unicolor,Chittering,Playful,
Indian Nightjar variant 32,Bird,Caprimulgus asiaticus,Purring or soft chatter,Affiliative/Relaxed,
Plover variant 23,Bird,Charadriidae sp.,Mobbing calls,Group Alarm,
Black Drongo,Bird,Dicrurus macrocercus,"Song, melodious trills",Courtship/Excited,when threatened
Rock Pigeon variant 6,Bird,Columba livia,"Mimicry, learned sounds",Curiosity/Exploration,
Bonnet Macaque variant 44,Mammal,Macaca radiata,"Squeak, contact call",Contact/Neutral,
Great Indian Bustard,Bird,Ardeotis nigriceps,"Alarm call, harsh chips",Alarm/Alert,
Rock Pigeon,Bird,Columba livia,Wing-flap displays (variant),Excitement/Display,during foraging
Himalayan Tahr,Mammal,Hemitragus jemlahicus,Sniffing/grunting,Exploration/Foraging,
Indian Vulture variant 28,Bird,Gyps indicus,Mobbing calls,Group Alarm,
Eurasian Eagle-Owl,Bird,Bubo bubo,Mobbing calls,Group Alarm,at dusk
White Rhinoceros,Mammal,Ceratotherium simum,Hiss,Threat/Avoidance,
Indian Wolf,Mammal,Canis lupus pallipes,Chittering,Playful,at dusk
Leopard Cat variant 61,Mammal,Prionailurus bengalensis,Hiss,Threat/Avoidance,when threatened
Gaur variant 39,Mammal,Bos gaurus,Mating call (vocal),Courtship/Excited,
Indian Grey Hornbill,Bird,Ocyceros birostris,Distress squeal,Distress/Separation,
Sandpiper,Bird,Scolopacidae sp.,Distress squeal,Distress/Separation,at dawn
Indian Grey Mongoose,Mammal,Herpestes edwardsii,Mating call (vocal),Courtship/Excited,
Fantail,Bird,Rhipidura sp.,Aggressive scolding,Aggression/Defense,
Common Kingfisher,Bird,Alcedo atthis,"Song, melodious trills",Courtship/Excited,
Indian Grey Hornbill,Bird,Ocyceros birostris,"Mimicry, learned sounds",Curiosity/Exploration,in presence of human
King Cobra,Reptile,Ophiophagus hannah,Slow low moan,Distress,
Common Krait variant 70,Reptile,Bungarus caeruleus,Silent (body-language),Neutral/Calm,
Brahminy Starling,Bird,Sturnia pagodarum,Fleeing chatter,Fear/Escape,
Plover variant 23,Bird,Charadriidae sp.,Distress squeal,Distress/Separation,
Bar-headed Goose variant 20,Bird,Anser indicus,Soft contact calls,Content/Comfort,
Pied Bushchat variant 21,Bird,Saxicola caprata,Soft contact calls,Content/Comfort,at dusk
Indian Monitor Lizard,Reptile,Varanus bengalensis,Rattle (some species) (variant),Warning,during foraging
Himalayan Black Bear,Mammal,Ursus thibetanus,"Bark, woof",Alert/Excited,
Greater Coucal variant 17,Bird,Centropus sinensis,Distress squeal,Distress/Separation,
Tree Sparrow variant 25,Bird,Passer montanus,Purring or soft chatter,Affiliative/Relaxed,
Russell's Viper,Reptile,Daboia russelii,Silent (body-language),Neutral/Calm,
Cattle Egret variant 11,Bird,Bubulcus ibis,Distress squeal,Distress/Separation,
Brown Palm Civet variant 67,Mammal,Paradoxurus jerdoni,Sniffing/grunting,Exploration/Foraging,
Wild Boar,Mammal,Sus scrofa cristatus,"Roar, long call",Territorial/Aggressive,
House Sparrow,Bird,Passer domesticus,"Alarm call, harsh chips",Alarm/Alert,in presence of human
Domestic Cat variant 59,Mammal,Felis catus,"Growl, snarl",Aggression,
Domestic Dog,Mammal,Canis familiaris,"Whine, whimper",Distress/Anxious,
Eurasian Eagle-Owl variant 15,Bird,Bubo bubo,Aggressive scolding,Aggression/Defense,at dusk
Snow Leopard,Mammal,Panthera uncia,Hiss,Threat/Avoidance,
Gharial variant 77,Reptile,Gavialis gangeticus,Huffing,Defensive,
Rose-ringed Parakeet variant 5,Bird,Psittacula krameri,Wing-flap displays,Excitement/Display,
Fantail variant 33,Bird,Rhipidura sp.,Distress squeal,Distress/Separation,
Indian Rhinoceros,Mammal,Rhinoceros unicornis,Chittering,Playful,when separated from group
Indian Grey Mongoose,Mammal,Herpestes edwardsii,"Whine, whimper",Distress/Anxious,during mating display
Barn Owl variant 14,Bird,Tyto alba,Fleeing chatter,Fear/Escape,
Hanuman Langur variant 45,Mammal,Semnopithecus entellus,"Squeak, contact call",Contact/Neutral,at dawn
Water Buffalo,Mammal,Bubalus bubalis,"Purr, contented vocalization",Contentment/Relaxed,
Domestic Goat,Mammal,Capra hircus,Sniffing/grunting,Exploration/Foraging,at dawn
Arctic Fox,Mammal,Vulpes lagopus,Loud bawl,Distress/Alarm,at dusk
Moorhen,Bird,Gallinula chloropus,Distress squeal,Distress/Separation,
Himalayan Tahr,Mammal,Hemitragus jemlahicus,"Growl, snarl",Aggression,
Brahminy Starling,Bird,Sturnia pagodarum,Mobbing calls,Group Alarm,
Common Myna variant 2,Bird,Acridotheres tristis,Soft contact calls,Content/Comfort,
Domestic Cat,Mammal,Felis catus,"Bark, woof",Alert/Excited,
Golden Eagle,Bird,Aquila chrysaetos,"Mimicry, learned sounds",Curiosity/Exploration,
Moorhen variant 26,Bird,Gallinula chloropus,Aggressive scolding,Aggression/Defense,near nesting site
Rohu,Fish,Labeo rohita,"Blub, gulp",Neutral/Contact,
Mountain Goat,Mammal,Oreamnos americanus,Mating call (vocal),Courtship/Excited,near nesting site
Spoonbill,Bird,Platalea leucorodia,Wing-flap displays,Excitement/Display,
Ibis,Bird,Threskiornis sp.,Aggressive scolding,Aggression/Defense,
Bengal Fox variant 65,Mammal,Vulpes bengalensis,"Roar, long call",Territorial/Aggressive,
Asian Koel variant 3,Bird,Eudynamys scolopaceus,Wing-flap displays,Excitement/Display,
Indian Pangolin variant 48,Mammal,Manis crassicaudata,Mating call (vocal),Courtship/Excited,during foraging
Rock Pigeon variant 6,Bird,Columba livia,Distress squeal,Distress/Separation,
Greater Coucal variant 17,Bird,Centropus sinensis,Purring or soft chatter,Affiliative/Relaxed,
Barasingha,Mammal,Rucervus duvaucelii,Mating call (vocal),Courtship/Excited,
Domestic Dog,Mammal,Canis familiaris,"Trumpet, rumble",Alarm/Excited,
Indian Pangolin variant 48,Mammal,Manis crassicaudata,Chittering,Playful,near nesting site
Eurasian Eagle-Owl variant 15,Bird,Bubo bubo,Fleeing chatter,Fear/Escape,
Walking Catfish,Fish,Clarias batrachus,Distress thrashing,Distress,near nesting site
Striped Hyena,Mammal,Hyaena hyaena,"Purr, contented vocalization",Contentment/Relaxed,during mating display
Black Drongo variant 12,Bird,Dicrurus macrocercus,"Alarm call, harsh chips",Alarm/Alert,when separated from group
Asian Openbill variant 30,Bird,Anastomus oscitans,Purring or soft chatter,Affiliative/Relaxed,when threatened
Red Junglefowl variant 22,Bird,Gallus gallus,Mobbing calls,Group Alarm,
Red Panda,Mammal,Ailurus fulgens,Hiss,Threat/Avoidance,
Indian Bullfrog,Amphibian,Hoplobatrachus tigerinus,Distress calls,Distress,
Hanuman Langur,Mammal,Semnopithecus entellus,"Growl, snarl",Aggression,
Woodpecker variant 18,Bird,Picidae sp.,"Mimicry, learned sounds",Curiosity/Exploration,
African Elephant,Mammal,Loxodonta africana,Mating call (vocal),Courtship/Excited,
Tree Sparrow variant 25,Bird,Passer montanus,Distress squeal,Distress/Separation,
Gaur variant 39,Mammal,Bos gaurus,"Purr, contented vocalization",Contentment/Relaxed,
Indian Roller,Bird,Coracias benghalensis,Fleeing chatter,Fear/Escape,
Clownfish,Fish,Amphiprioninae,"Blub, gulp",Neutral/Contact,
Indian Palm Squirrel,Mammal,Funambulus palmarum,Sniffing/grunting,Exploration/Foraging,
Russell's Viper,Reptile,Daboia russelii,Aggressive lunge sound,Aggression,in presence of human
Common Myna variant 2,Bird,Acridotheres tristis,Wing-flap displays,Excitement/Display,
Bengal Tiger variant 35,Mammal,Panthera tigris tigris,Loud bawl,Distress/Alarm,
Tilapia,Fish,Oreochromis niloticus,Mating vibration,Courtship,
Greater Coucal,Bird,Centropus sinensis,"Song, melodious trills",Courtship/Excited,
Indian Nightjar,Bird,Caprimulgus asiaticus,Wing-flap displays,Excitement/Display,near nesting site
Saw-scaled Viper,Reptile,Echis carinatus,Huffing,Defensive,
Fantail,Bird,Rhipidura sp.,"Alarm call, harsh chips",Alarm/Alert,during foraging
Saw-scaled Viper,Reptile,Echis carinatus,Hiss,Threat/Defense,
Clownfish,Fish,Amphiprioninae,Low hum (sonar-like),Communication,
Common Myna variant 2,Bird,Acridotheres tristis,Bill-clacking,Threat,when separated from group
Common Carp,Fish,Cyprinus carpio,"Blub, gulp",Neutral/Contact,
Indian Pond Heron variant 9,Bird,Ardeola grayii,"Mimicry, learned sounds",Curiosity/Exploration,when threatened
Indian Leopard variant 36,Mammal,Panthera pardus fusca,Sniffing/grunting,Exploration/Foraging,at dusk
Domestic Sheep variant 57,Mammal,Ovis aries,Mating call (vocal),Courtship/Excited,
Brown Palm Civet,Mammal,Paradoxurus jerdoni,"Growl, snarl",Aggression,at dusk
Sandpiper variant 24,Bird,Scolopacidae sp.,Fleeing chatter,Fear/Escape,
Chital,Mammal,Axis axis,Mating call (vocal),Courtship/Excited,
Small Indian Civet,Mammal,Viverricula indica,Sniffing/grunting,Exploration/Foraging,
Indian Elephant variant 34,Mammal,Elephas maximus indicus,"Purr, contented vocalization",Contentment/Relaxed,
Indian Grey Hornbill,Bird,Ocyceros birostris,Wing-flap displays,Excitement/Display,
Fishing Cat variant 60,Mammal,Prionailurus viverrinus,Mating call (vocal),Courtship/Excited,near nesting site
Wild Boar variant 53,Mammal,Sus scrofa cristatus,"Growl, snarl",Aggression,when separated from group
Indian Rock Python variant 68,Reptile,Python molurus,Breathing sound,Relaxed,
Indian Vulture variant 28,Bird,Gyps indicus,Wing-flap displays,Excitement/Display,near nesting site
Little Egret,Bird,Egretta garzetta,Mobbing calls,Group Alarm,
Indian Monitor Lizard variant 73,Reptile,Varanus bengalensis,Tongue-flick (non-vocal),Exploration,near nesting site
Indian Elephant,Mammal,Elephas maximus indicus,Mating call (vocal),Courtship/Excited,
Bar-headed Goose variant 20,Bird,Anser indicus,Mobbing calls,Group Alarm,
Indian Nightjar,Bird,Caprimulgus asiaticus,Purring or soft chatter,Affiliative/Relaxed,at dawn
Rose-ringed Parakeet variant 5,Bird,Psittacula krameri,"Mimicry, learned sounds",Curiosity/Exploration,
Himalayan Black Bear,Mammal,Ursus thibetanus,Mating call (vocal),Courtship/Excited,at dawn
Asian Koel variant 3,Bird,Eudynamys scolopaceus,Purring or soft chatter,Affiliative/Relaxed,near nesting site
Indian Flying Fox variant 47,Mammal,Pteropus giganteus,Sniffing/grunting,Exploration/Foraging,during foraging
Himalayan Black Bear,Mammal,Ursus thibetanus,"Growl, snarl",Aggression,
Nilgiri Tahr,Mammal,Nilgiritragus hylocrius,Sniffing/grunting,Exploration/Foraging,in presence of human
Rose-ringed Parakeet,Bird,Psittacula krameri,Aggressive scolding,Aggression/Defense,
Indian Wolf variant 50,Mammal,Canis lupus pallipes,Mating call (vocal),Courtship/Excited,
Red Panda,Mammal,Ailurus fulgens,"Trumpet, rumble",Alarm/Excited,
Chital,Mammal,Axis axis,"Growl, snarl",Aggression,when separated from group
Little Egret,Bird,Egretta garzetta,Purring or soft chatter,Affiliative/Relaxed,
Bengal Fox variant 65,Mammal,Vulpes bengalensis,"Purr, contented vocalization",Contentment/Relaxed,at dawn
Indian Grey Mongoose,Mammal,Herpestes edwardsii,Hiss,Threat/Avoidance,
Brown Palm Civet variant 67,Mammal,Paradoxurus jerdoni,Chittering,Playful,
Bengal Fox,Mammal,Vulpes bengalensis,Sniffing/grunting,Exploration/Foraging,
Common Toad,Amphibian,Duttaphrynus melanostictus,Subsurface bubbles,Neutral,when threatened
Indian Monitor Lizard,Reptile,Varanus bengalensis,Silent (body-language),Neutral/Calm,
Indian Vulture,Bird,Gyps indicus,"Alarm call, harsh chips",Alarm/Alert,
Mugger Crocodile variant 74,Reptile,Crocodylus palustris,Rattle (some species),Warning,
Guppy,Fish,Poecilia reticulata,Low hum (sonar-like),Communication,
Golden Eagle,Bird,Aquila chrysaetos,Soft contact calls,Content/Comfort,
Asiatic Lion,Mammal,Panthera leo persica,Sniffing/grunting,Exploration/Foraging,
Brown Palm Civet,Mammal,Paradoxurus jerdoni,Sniffing/grunting,Exploration/Foraging,when separated from group
Saw-scaled Viper variant 72,Reptile,Echis carinatus,Low growl-like hiss,Alarm/Alert,near nesting site
Catla,Fish,Catla catla,Calm bubbling,Neutral,
Bonnet Macaque variant 44,Mammal,Macaca radiata,"Bark, woof",Alert/Excited,
Indian Grey Hornbill,Bird,Ocyceros birostris,Bill-clacking,Threat,
White-throated Kingfisher,Bird,Halcyon smyrnensis,Distress squeal,Distress/Separation,
Common Kingfisher variant 10,Bird,Alcedo atthis,Purring or soft chatter,Affiliative/Relaxed,
Domestic Dog,Mammal,Canis familiaris,"Squeak, contact call",Contact/Neutral,at dawn
House Crow variant 4,Bird,Corvus splendens,"Chirp, cheep",Contact/Neutral,
Indian Rhinoceros,Mammal,Rhinoceros unicornis,"Bark, woof",Alert/Excited,
Clownfish,Fish,Amphiprioninae,Rapid splash,Alarm/Escape,
Cattle Egret variant 11,Bird,Bubulcus ibis,"Alarm call, harsh chips",Alarm/Alert,when threatened
Chital variant 41,Mammal,Axis axis,Sniffing/grunting,Exploration/Foraging,
Striped Hyena variant 66,Mammal,Hyaena hyaena,Loud bawl,Distress/Alarm,
Common Myna,Bird,Acridotheres tristis,"Mimicry, learned sounds",Curiosity/Exploration,
Small Indian Civet,Mammal,Viverricula indica,Hiss,Threat/Avoidance,at dawn
Common Myna variant 2,Bird,Acridotheres tristis,"Song, melodious trills",Courtship/Excited,
Indian Courser,Bird,Cursorius coromandelicus,"Mimicry, learned sounds",Curiosity/Exploration,when threatened
Domestic Sheep variant 57,Mammal,Ovis aries,"Purr, contented vocalization",Contentment/Relaxed,
Nilgiri Tahr,Mammal,Nilgiritragus hylocrius,Hiss,Threat/Avoidance,
Indian Hare variant 49,Mammal,Lepus nigricollis,"Bark, woof",Alert/Excited,at dusk
Bar-headed Goose,Bird,Anser indicus,"Alarm call, harsh chips",Alarm/Alert,during mating display
Indian Wolf variant 50,Mammal,Canis lupus pallipes,Loud bawl,Distress/Alarm,
Saltwater Crocodile variant 75,Reptile,Crocodylus porosus,Aggressive lunge sound,Aggression,
Indian Wolf,Mammal,Canis lupus pallipes,"Growl, snarl",Aggression,when separated from group
Star Tortoise variant 78,Reptile,Geochelone elegans,Low growl-like hiss,Alarm/Alert,on migration
